self;other;geometry;edge;edge_correction
15428;15414;LINESTRING (133099.6048999997 5915005.1735, 133100.6233999999 5915059.431);15363;
15437;15438;LINESTRING (133250.4872000003 5914908.6642, 133211.7833000002 5914909.9159);15388;
15442;15437;LINESTRING (133251.7715999996 5914968.3484, 133250.4872000003 5914908.6642);15389;
15439;15438;LINESTRING (133213.5958000002 5914969.4556, 133211.7833000002 5914909.9159);15390;
16086;15712;LINESTRING (132906.4469999997 5915416.1503, 132914.9603000004 5915359.2322);15782;
15448;15435;LINESTRING (133268.4001000002 5914770.4365, 133269.2863999996 5914814.7492);15748;
15683;15684;LINESTRING (133163.0497000003 5914633.498, 133210.1443999996 5914628.7103);14071;
15684;15685;LINESTRING (133210.1443999996 5914628.7103, 133213.3249000004 5914746.6962);14804;
15680;15684;LINESTRING (133245.3070999999 5914623.8297, 133210.1443999996 5914628.7103);14806;
134268;15449;LINESTRING (133211.9090999998 5914755.7052, 133214.5650000004 5914771.6541);16287;
15685;14466;LINESTRING (133213.3249000004 5914746.6962, 133104.0369999995 5914748.1301);16145;
15448;15449;LINESTRING (133268.4001000002 5914770.4365, 133214.5650000004 5914771.6541);16041;
134269;14608;LINESTRING (133201.6984999999 5914772.1192, 133098.5913000004 5914774.198, 133093.7196000004 5914774.3098);16042;
13345;15448;LINESTRING (133331.6659000004 5914771.4523, 133268.4001000002 5914770.4365);17004;
14466;14608;LINESTRING (133104.0369999995 5914748.1301, 133093.7196000004 5914774.3098);17067;
14341;15684;LINESTRING (133192.1494000005 5914551.0803, 133210.1443999996 5914628.7103);18025;
16276;15679;LINESTRING (133294.5543999998 5914721.4282, 133211.1288999999 5914722.7144);18183;
15679;134268;LINESTRING (133211.1288999999 5914722.7144, 133211.9090999998 5914755.7052);26302;
15449;134269;LINESTRING (133214.5650000004 5914771.6541, 133201.6984999999 5914772.1192);146263;
16254;16255;LINESTRING (132444.5845999997 5914647.2186, 132496.6736000003 5914649.9963);18218;
16527;16528;LINESTRING (129873.6261999998 5915004.8811, 129862.1875 5915105.9201);14545;
16530;16528;LINESTRING (129854.8048999999 5915186.8689, 129862.1875 5915105.9201);14085;
16529;16530;LINESTRING (129828.7662000004 5915185.1088, 129837.3815000001 5915185.6912, 129840.6042999998 5915185.909, 129854.8048999999 5915186.8689);14086;
13418;13585;LINESTRING (129831.4230000004 5915275.6631, 129840.6042999998 5915185.909, 129841.6502999999 5915175.6834);17359;
13585;13586;LINESTRING (129841.6502999999 5915175.6834, 129849.5029999996 5915104.401);17360;
16193;16300;LINESTRING (130196.0499999998 5914758.5476, 130191.7698999997 5914786.2108);15642;
16302;16300;LINESTRING (130237.9889000002 5914792.8897, 130191.7698999997 5914786.2108);15419;
16192;16302;LINESTRING (130242.3125999998 5914767.3214, 130237.9889000002 5914792.8897);15420;
13416;13415;LINESTRING (129827.2949999999 5915273.7128, 129837.3815000001 5915185.6912, 129837.5549999997 5915184.177);17177;
13415;13414;LINESTRING (129837.5549999997 5915184.177, 129846.7423 5915104.0704);17178;
16528;13948;LINESTRING (129862.1875 5915105.9201, 129852.4510000004 5915104.754);17083;
16547;13414;LINESTRING (129772.6765000001 5915095.2, 129846.7423 5915104.0704);17179;
13414;13586;LINESTRING (129846.7423 5915104.0704, 129849.5029999996 5915104.401);1736800;Invertido
13586;13948;LINESTRING (129849.5029999996 5915104.401,  129852.4510000004 5915104.754;15457;Invertido
13948;13949;LINESTRING (129852.4510000004 5915104.754, 129876.6113 5914952.8591);17622;
13951;13952;LINESTRING (129901.9982000003 5914787.6729, 129911.3003000002 5914658.527);17619;
16548;16547;LINESTRING (129671.4111000001 5915083.4926, 129772.6765000001 5915095.2);17084;
141324;141325;LINESTRING (130494.8877999997 5914796.6812, 130507.1327999998 5914714.2582);153924;
141323;141324;LINESTRING (130449.3214999996 5914790.3794, 130494.8877999997 5914796.6812);153925;
16611;16612;LINESTRING (130415.5225999998 5914770.2247, 130424.1556000002 5914703.3401);18198;
16614;16613;LINESTRING (130453.9983000001 5914775.5813, 130462.2767000003 5914708.7061);17921;
13634;13638;LINESTRING (133299.7241000002 5915480.9912, 133313.9484999999 5915414.1725, 133329.2406000001 5915364.0531);14944;
13643;13638;LINESTRING (133337.4585999995 5915302.5988, 133329.2406000001 5915364.0531);14945;
13636;13639;LINESTRING (133350.6957 5915422.3898, 133359.4817000004 5915362.9859);14946;
13639;13638;LINESTRING (133359.4817000004 5915362.9859, 133329.2406000001 5915364.0531);14912;
15446;13463;LINESTRING (133332.6451000003 5914885.8971, 133330.6935000001 5914821.9644);16275;
15422;15424;LINESTRING (133341.3611000003 5915132.7212, 133337.7631999999 5915000.1114);15158;
15422;15423;LINESTRING (133341.3611000003 5915132.7212, 133342.6174999997 5915192.257);15159;
15443;15447;LINESTRING (133334.3808000004 5914966.1463, 133333.0510999998 5914906.3856);15375;
15445;15446;LINESTRING (133400.1593000004 5914883.875, 133342.2918999996 5914885.6082, 133332.6451000003 5914885.8971);15553;
16615;14468;LINESTRING (130535.1900000004 5914758.4668, 130539.1079000002 5914731.5422);17922;
14981;14980;LINESTRING (130121.7079999996 5914747.2237, 130129.7703999998 5914653.7891);14640;
141328;14393;LINESTRING (130245.1293000001 5914744.2486, 130255.6829000004 5914665.9567);153926;
14469;15457;LINESTRING (130511.0127999997 5914726.975, 130525.2777000004 5914633.6687, 130525.4813000001 5914632.3547, 130526.0436000004 5914628.7259);16558;
14468;14469;LINESTRING (130539.1079000002 5914731.5422, 130511.0127999997 5914726.975);16559;
13339;13639;LINESTRING (133385.9073000001 5915362.2972, 133359.4817000004 5915362.9859);16531;
16201;13339;LINESTRING (133434.4265999999 5915361.1276, 133385.9073000001 5915362.2972);17673;
15444;15445;LINESTRING (133401.9689999996 5914948.0453, 133400.1593000004 5914883.875);15554;
141416;14978;LINESTRING (130161.3855999997 5914722.3827, 130172.5839999998 5914653.8744);154021;
14534;14977;LINESTRING (130200.5608999999 5914724.4883, 130209.8426000001 5914659.8951);16259;
13963;13646;LINESTRING (133480.3529000003 5915352.2573, 133487.3327000001 5915359.8523);14949;
13644;13646;LINESTRING (133478.3239000002 5915469.8827, 133487.3327000001 5915359.8523);14950;
13970;13646;LINESTRING (133539.5324999997 5915358.4081, 133487.3327000001 5915359.8523);14282;
13964;13529;LINESTRING (133499.0823999997 5915258.5344, 133488.2663000003 5915308.6762);14283;
13967;13969;LINESTRING (133527.0488999998 5915399.923, 133537.4652000004 5915376.0887);14608;
13969;13970;LINESTRING (133537.4652000004 5915376.0887, 133539.5324999997 5915358.4081);14609;
13646;16201;LINESTRING (133487.3327000001 5915359.8523, 133434.4265999999 5915361.1276);14913;
13529;13963;LINESTRING (133488.2663000003 5915308.6762, 133480.3529000003 5915352.2573);16807;
16311;16303;LINESTRING (133471.9940999998 5915188.904, 133468.4667999996 5915049.3652);16089;
16200;16201;LINESTRING (133421.3799999999 5915447.5052, 133434.4265999999 5915361.1276);17674;
13469;13468;LINESTRING (133551.5952000003 5914962.1528, 133496.1801000005 5914963.6466);16283;
13467;13466;LINESTRING (133441.5707 5914965.1193, 133440.0048000002 5914883.0232);16284;
16313;16311;LINESTRING (133531.2523999996 5915187.8001, 133471.9940999998 5915188.904);16044;
16305;16313;LINESTRING (133528.3550000004 5915064.9563, 133531.2523999996 5915187.8001);16046;
16304;16303;LINESTRING (133495.7931000004 5915048.8079, 133468.4667999996 5915049.3652);16049;
16303;13473;LINESTRING (133468.4667999996 5915049.3652, 133443.3431000002 5915049.9944);16050;
13471;13467;LINESTRING (133442.1972000003 5914997.9666, 133442.1189000001 5914993.8611, 133441.5707 5914965.1193);16051;
13473;13471;LINESTRING (133443.3431000002 5915049.9944, 133442.1972000003 5914997.9666);16052;
13468;13467;LINESTRING (133496.1801000005 5914963.6466, 133441.5707 5914965.1193);16053;
13470;16304;LINESTRING (133495.0416999999 5915010.0958, 133495.7931000004 5915048.8079);16056;
13468;13465;LINESTRING (133496.1801000005 5914963.6466, 133494.8476999998 5914882.3851);16059;
13472;13471;LINESTRING (133544.0285 5914995.3519, 133442.1972000003 5914997.9666);15372;
16306;16304;LINESTRING (133545.1912000002 5915048.638, 133495.7931000004 5915048.8079);15373;
16312;16313;LINESTRING (133589.9940999998 5915186.3372, 133531.2523999996 5915187.8001);15374;
16298;14117;LINESTRING (129942.2470000004 5914698.0912, 129956.4234999996 5914621.4313);18085;
16622;16298;LINESTRING (130011.0916999998 5914708.2789, 129942.2470000004 5914698.0912);18086;
14116;14115;LINESTRING (129992.6545000002 5914626.5111, 130034.7633999996 5914632.415);16765;
14115;14114;LINESTRING (130034.7633999996 5914632.415, 130080.5489999996 5914638.8346);16766;
14109;14115;LINESTRING (130042.0959999999 5914580.1167, 130034.7633999996 5914632.415);16828;
14108;14114;LINESTRING (130087.6376 5914588.2775, 130080.5489999996 5914638.8346);16829;
141417;14978;LINESTRING (130180.1956000002 5914601.6652, 130172.5839999998 5914653.8744);154022;
14112;14978;LINESTRING (130131.3236999996 5914645.9535, 130172.5839999998 5914653.8744);14314;
14393;14977;LINESTRING (130255.6829000004 5914665.9567, 130209.8426000001 5914659.8951);16930;
14978;14977;LINESTRING (130172.5839999998 5914653.8744, 130209.8426000001 5914659.8951);14529;
14228;14977;LINESTRING (130217.9878000002 5914609.5087, 130209.8426000001 5914659.8951);14530;
14114;14113;LINESTRING (130080.5489999996 5914638.8346, 130124.7467 5914645.0313);16822;
14113;14112;LINESTRING (130124.7467 5914645.0313, 130131.3236999996 5914645.9535);16823;
14980;14112;LINESTRING (130129.7703999998 5914653.7891, 130131.3236999996 5914645.9535);16824;
14107;14113;LINESTRING (130131.8894999996 5914594.0873, 130124.7467 5914645.0313);16830;
141327;14393;LINESTRING (130369.8811999997 5914683.2415, 130255.6829000004 5914665.9567);153923;
141329;14393;LINESTRING (130262.3821999999 5914617.6882, 130255.6829000004 5914665.9567);153927;
141749;1000980;LINESTRING (130217.3328999998 5914663.6325, 130224.4286000002 5914604.5808);154381;
13952;13933;LINESTRING (129911.3003000002 5914658.527, 129924.0522999996 5914498.1556);17618;
13867;13970;LINESTRING (133656.3811999997 5915355.9214, 133539.5324999997 5915358.4081);14914;
15688;13469;LINESTRING (133549.5829999996 5914886.6122, 133551.5952000003 5914962.1528);16280;
16314;13469;LINESTRING (133610.5772000002 5914960.5613, 133551.5952000003 5914962.1528);16282;
16307;16312;LINESTRING (133588.0203999998 5915063.9209, 133589.9940999998 5915186.3372);16045;
16310;13472;LINESTRING (133637.0903000003 5914992.975, 133544.0285 5914995.3519);16048;
13472;13469;LINESTRING (133544.0285 5914995.3519, 133544.8525 5914991.7367, 133551.5952000003 5914962.1528);16054;
16306;13472;LINESTRING (133545.1912000002 5915048.638, 133544.0285 5914995.3519);16055;
16308;16306;LINESTRING (133638.0537 5915045.9895, 133545.1912000002 5915048.638);17003;
14343;13867;LINESTRING (133686.1960000005 5915355.4309, 133656.3811999997 5915355.9214);14915;
15687;16314;LINESTRING (133608.6111000003 5914887.6566, 133610.5772000002 5914960.5613);16279;
16315;16314;LINESTRING (133697.9506000001 5914958.205, 133610.5772000002 5914960.5613);16281;
16308;16310;LINESTRING (133638.0537 5915045.9895, 133637.0903000003 5914992.975);16285;
13466;13465;LINESTRING (133440.0048000002 5914883.0232, 133494.8476999998 5914882.3851);16087;
13465;13464;LINESTRING (133494.8476999998 5914882.3851, 133492.8054 5914817.7452);16088;
16309;16308;LINESTRING (133639.0261000004 5915099.5023, 133638.0537 5915045.9895);16047;
15687;16317;LINESTRING (133608.6111000003 5914887.6566, 133606.5658999998 5914816.9636);16057;
15688;16316;LINESTRING (133549.5829999996 5914886.6122, 133547.6881999997 5914816.2811);16058;
16632;16548;LINESTRING (129648.7105 5915081.1562, 129671.4111000001 5915083.4926);17055;
13841;14343;LINESTRING (133688.4118999997 5915338.1783, 133686.1960000005 5915355.4309);18028;
13516;14343;LINESTRING (133716.9129999997 5915354.8399, 133686.1960000005 5915355.4309);15952;
16318;16319;LINESTRING (133701.6113 5914860.7196, 133702.7077000001 5914816.7992);16272;
14342;13516;LINESTRING (133764.0285 5915353.4831, 133716.9129999997 5915354.8399);16735;
12759;12760;LINESTRING (133709.4620000003 5915415.4941, 133715.1854999997 5915372.4496);17930;
12760;13516;LINESTRING (133715.1854999997 5915372.4496, 133716.9129999997 5915354.8399);17893;
13842;13841;LINESTRING (133702.0153000001 5915243.7956, 133688.4118999997 5915338.1783);15485;
16001;16000;LINESTRING (133726.3684 5915181.7884, 133829.3290999997 5915179.6064);14611;
141325;16613;LINESTRING (130507.1327999998 5914714.2582, 130462.2767000003 5914708.7061);18199;
16613;16612;LINESTRING (130462.2767000003 5914708.7061, 130424.1556000002 5914703.3401);18200;
16612;141326;LINESTRING (130424.1556000002 5914703.3401, 130400.2834999999 5914697.3061);153921;
141326;141327;LINESTRING (130400.2834999999 5914697.3061, 130369.8811999997 5914683.2415);153922;
13844;14342;LINESTRING (133767.1118000001 5915279.2784, 133764.0285 5915353.4831);18027;
16212;14342;LINESTRING (133752.4148000004 5915456.7621, 133764.0285 5915353.4831);18367;
14342;13972;LINESTRING (133764.0285 5915353.4831, 133822.8059 5915352.9946);15953;
15984;15978;LINESTRING (133765.8375000004 5914990.6464, 133770.0892000003 5914986.6532, 133801.8403000003 5914956.8321);15842;
13843;13844;LINESTRING (133767.9658000004 5915235.347, 133767.1118000001 5915279.2784);15484;
14614;15984;LINESTRING (133884.4022000004 5914987.0315, 133883.0679000001 5914987.0722, 133832.3419000003 5914988.6188, 133765.8375000004 5914990.6464);16002;
16002;15984;LINESTRING (133768.3313999996 5915099.5462, 133765.8375000004 5914990.6464);17814;
15985;15986;LINESTRING (133774.4392999997 5915043.5195, 133826.0966999996 5915042.416);15839;
16000;15999;LINESTRING (133829.3290999997 5915179.6064, 133889.1522000004 5915177.7335);14612;
13972;13528;LINESTRING (133822.8059 5915352.9946, 133858.7323000003 5915351.3819);14916;
15979;15978;LINESTRING (133855.9167999998 5914955.0861, 133801.8403000003 5914956.8321);15843;
15978;15973;LINESTRING (133801.8403000003 5914956.8321, 133797.0245000003 5914838.6716);15853;
13840;13972;LINESTRING (133818.4137000004 5915358.3977, 133822.8059 5915352.9946);17150;
13971;13840;LINESTRING (133803.3803000003 5915455.8126, 133818.4137000004 5915358.3977);17151;
15986;16000;LINESTRING (133826.0966999996 5915042.416, 133829.3290999997 5915179.6064);15494;
13528;13973;LINESTRING (133858.7323000003 5915351.3819, 133887.6771 5915350.7153);14917;
16205;13528;LINESTRING (133859.3119000001 5915395.4917, 133858.7323000003 5915351.3819);18369;
15979;15974;LINESTRING (133855.9167999998 5914955.0861, 133857.1672999999 5914837.6807);15848;
15980;15979;LINESTRING (133911.3076999998 5914953.5135, 133855.9167999998 5914955.0861);15844;
13973;13869;LINESTRING (133887.6771 5915350.7153, 133915.4655999998 5915350.2454);16734;
13346;14614;LINESTRING (133977.3141000001 5914985.1326, 133884.4022000004 5914987.0315);15841;
15987;15988;LINESTRING (133885.8702999996 5915040.5932, 133945.7625000002 5915039.1689);15489;
15987;15999;LINESTRING (133885.8702999996 5915040.5932, 133889.1522000004 5915177.7335);15490;
16244;15068;LINESTRING (133995.0058000004 5914877.6291, 133962.7181000002 5914819.7165);17840;
13869;13868;LINESTRING (133915.4655999998 5915350.2454, 133937.2331999997 5915349.6711);14922;
15991;15992;LINESTRING (133980.2363 5914985.1008, 134061.1594000002 5914984.2196);15840;
15983;15980;LINESTRING (133986.8729999997 5914952.2849, 133911.3076999998 5914953.5135);15845;
15992;15995;LINESTRING (134061.1594000002 5914984.2196, 134124.8439999996 5914981.3992);17069;
15980;15976;LINESTRING (133911.3076999998 5914953.5135, 133909.0266000004 5914835.6896);17071;
12764;12765;LINESTRING (133923.3997999998 5915459.1476, 133936.7444000002 5915370.8905);17156;
12765;13881;LINESTRING (133936.7444000002 5915370.8905, 133938.8419000003 5915360.011);17157;
14459;15068;LINESTRING (133965.1874000002 5914898.79, 133962.7181000002 5914819.7165);17001;
15982;14459;LINESTRING (133984.8660000004 5914898.3418, 133965.1874000002 5914898.79);17061;
15983;15982;LINESTRING (133986.8729999997 5914952.2849, 133984.8660000004 5914898.3418);15846;
15981;14459;LINESTRING (133915.8273 5914900.2515, 133965.1874000002 5914898.79);15847;
15689;13463;LINESTRING (133411.8189000003 5914819.7172, 133341.1995000001 5914821.6734, 133330.6935000001 5914821.9644);16278;
14458;13345;LINESTRING (133330.4901000001 5914813.9747, 133331.6659000004 5914771.4523);16267;
13464;15689;LINESTRING (133492.8054 5914817.7452, 133411.8189000003 5914819.7172);16090;
14457;14458;LINESTRING (133380.9051000001 5914812.757, 133341.1064999998 5914813.7183, 133330.4901000001 5914813.9747);17005;
14456;14457;LINESTRING (133469.1917000003 5914810.5054, 133380.9051000001 5914812.757);17006;
13463;14458;LINESTRING (133330.6935000001 5914821.9644, 133330.4901000001 5914813.9747);17059;
14477;13464;LINESTRING (133519.409 5914816.8559, 133492.8054 5914817.7452);16274;
14463;14462;LINESTRING (133599.4643999999 5914806.998, 133503.5515000001 5914809.0058);16997;
16316;14477;LINESTRING (133547.6881999997 5914816.2811, 133519.409 5914816.8559);16754;
16346;14462;LINESTRING (133502.0575999999 5914751.7378, 133503.5515000001 5914809.0058);17063;
14462;13464;LINESTRING (133503.5515000001 5914809.0058, 133492.8054 5914817.7452);16998;
15090;15089;LINESTRING (134137.1127000004 5915005.8371, 134161.6953999996 5915005.3483);16994;
15091;15090;LINESTRING (134135.8284999998 5914951.3239, 134137.1127000004 5915005.8371);15306;
15076;15072;LINESTRING (134133.6704000002 5914924.6835, 134131.9667999996 5914832.0781);15475;
13330;15087;LINESTRING (134244.6670000004 5914946.3514, 134246.2514000004 5915003.4032);16995;
15089;14612;LINESTRING (134161.6953999996 5915005.3483, 134189.6299000001 5915004.8034);16162;
15087;15088;LINESTRING (134246.2514000004 5915003.4032, 134215.0998999998 5915004.3164);16163;
13329;13330;LINESTRING (134247.8744999999 5914941.2716, 134244.6670000004 5914946.3514);17242;
13328;13329;LINESTRING (134246.5316000003 5914887.9021, 134247.8744999999 5914941.2716);17243;
16243;14612;LINESTRING (134188.3881000001 5914964.2294, 134189.6299000001 5915004.8034);17839;
14612;15088;LINESTRING (134189.6299000001 5915004.8034, 134215.0998999998 5915004.3164);16003;
15077;15073;LINESTRING (134186.7078 5914928.4521, 134187.0900999997 5914831.7633);15471;
15079;15086;LINESTRING (134278.6662999997 5914917.1665, 134279.8731000004 5914944.2222);15469;
15086;15085;LINESTRING (134279.8731000004 5914944.2222, 134335.0510999998 5914943.2165);15470;
15671;15670;LINESTRING (134377.3306 5914859.4849, 134342.0114000002 5914929.466);14988;
15670;15085;LINESTRING (134342.0114000002 5914929.466, 134335.0510999998 5914943.2165);15391;
15672;15671;LINESTRING (134406.4367000004 5914888.0331, 134377.3306 5914859.4849);14987;
15283;15284;LINESTRING (134453.5747999996 5914909.77, 134513.7709999997 5914930.3523);14552;
15282;15672;LINESTRING (134469.5926999999 5914908.0173, 134406.4367000004 5914888.0331);14553;
15303;15301;LINESTRING (134438.0465000002 5914980.6931, 134469.4719000002 5914964.7294);14170;
15302;15301;LINESTRING (134446.4971000003 5914956.5508, 134469.4719000002 5914964.7294);14171;
15697;15696;LINESTRING (134431.0888999999 5915015.889, 134431.4693 5915049.898);14174;
15696;15306;LINESTRING (134431.4693 5915049.898, 134475.5093 5915049.2309);14175;
15078;13328;LINESTRING (134242.3812999995 5914885.327, 134246.5316000003 5914887.9021);17244;
15078;15075;LINESTRING (134242.3812999995 5914885.327, 134241.8816999998 5914830.1208);15305;
16206;15397;LINESTRING (134426.4500000002 5915094.2754, 134448.5454000002 5915120.0524);18204;
15080;15078;LINESTRING (134308.6218999997 5914883.9757, 134242.3812999995 5914885.327);15303;
15082;15080;LINESTRING (134307.4869999997 5914835.4068, 134308.6218999997 5914883.9757);15304;
15397;15396;LINESTRING (134448.5454000002 5915120.0524, 134590.8564999998 5915118.2676);15635;
15973;14615;LINESTRING (133797.0245000003 5914838.6716, 133821.0751999998 5914837.974);14632;
16316;16317;LINESTRING (133547.6881999997 5914816.2811, 133606.5658999998 5914816.9636);16273;
16319;15691;LINESTRING (133702.7077000001 5914816.7992, 133702.3679 5914792.5118);16276;
14618;15691;LINESTRING (133808.9314000001 5914775.5807, 133807.3712999998 5914781.7573, 133797.4331999999 5914791.2511, 133786.0724999998 5914794.5667, 133727.7396999998 5914797.9657, 133702.3679 5914792.5118);17002;
15974;14615;LINESTRING (133857.1672999999 5914837.6807, 133821.0751999998 5914837.974);16001;
14615;13462;LINESTRING (133821.0751999998 5914837.974, 133820.1692000004 5914779.9792);17815;
16317;16319;LINESTRING (133606.5658999998 5914816.9636, 133702.7077000001 5914816.7992);16091;
15975;13461;LINESTRING (133875.0328000002 5914816.5396, 133875.7456 5914742.6022);15301;
146776;15051;LINESTRING (135129.4225000003 5915055.3028, 135067.4226000002 5915056.9344);159755;
15065;15055;LINESTRING (135136.0592999998 5915129.5761, 135070.2362000002 5915114.4419);15172;
15673;15289;LINESTRING (134623.0214 5914969.7679, 134617.8750999998 5914985.5293);14986;
13887;13921;LINESTRING (134502.6925999997 5915195.503, 134501.6911000004 5915179.4008);15036;
13888;13887;LINESTRING (134592.7821000004 5915193.9642, 134502.6925999997 5915195.503);15037;
13889;13888;LINESTRING (134728.9941999996 5915186.6874, 134592.7821000004 5915193.9642);15038;
13890;13889;LINESTRING (134849.7576000001 5915184.4107, 134728.9941999996 5915186.6874);15039;
15705;15704;LINESTRING (134593.0785999997 5915049.0072, 134622.9983999999 5915048.7162);14298;
15299;15298;LINESTRING (134742.2164000003 5914958.7067, 134740.4914999995 5914919.9885);14299;
15298;15297;LINESTRING (134740.4914999995 5914919.9885, 134723.6638000002 5914927.9667);14300;
15297;15291;LINESTRING (134723.6638000002 5914927.9667, 134675.1100000003 5914936.9147);14301;
15295;15294;LINESTRING (134693.5355000002 5915030.2559, 134673.0240000002 5915022.9766);14302;
15293;15292;LINESTRING (134719.7001999998 5914991.8652, 134684.0576999998 5914980.8391);14303;
15292;15291;LINESTRING (134684.0576999998 5914980.8391, 134675.1100000003 5914936.9147);14304;
15291;15290;LINESTRING (134675.1100000003 5914936.9147, 134667.0495999996 5914933.3168);14305;
15290;15278;LINESTRING (134667.0495999996 5914933.3168, 134657.7999999998 5914931.7634);14546;
15289;15288;LINESTRING (134617.8750999998 5914985.5293, 134631.7197000002 5914990.1686);14547;
15288;15287;LINESTRING (134631.7197000002 5914990.1686, 134639.5782000003 5914970.1266);14548;
15287;15286;LINESTRING (134639.5782000003 5914970.1266, 134634.6365 5914943.8153);14549;
15286;15285;LINESTRING (134634.6365 5914943.8153, 134580.1464 5914952.0977);14550;
15285;15284;LINESTRING (134580.1464 5914952.0977, 134513.7709999997 5914930.3523);14551;
15280;15281;LINESTRING (134568.6039000005 5914940.695, 134516.1462000003 5914923.458);14555;
15279;15280;LINESTRING (134580.9877000004 5914944.8556, 134568.6039000005 5914940.695);14556;
15278;15279;LINESTRING (134657.7999999998 5914931.7634, 134580.9877000004 5914944.8556);14557;
15277;15278;LINESTRING (134735.3540000003 5914919.3711, 134657.7999999998 5914931.7634);14558;
15395;13921;LINESTRING (134591.9130999995 5915175.8566, 134501.6911000004 5915179.4008);14618;
15698;15304;LINESTRING (134545.8388999999 5915013.4175, 134496.7335000001 5914996.1842);14743;
15699;15698;LINESTRING (134555.2855000002 5914989.1776, 134545.8388999999 5915013.4175);14744;
15284;15281;LINESTRING (134513.7709999997 5914930.3523, 134516.1462000003 5914923.458);14630;
15700;15698;LINESTRING (134523.7132000001 5915046.5096, 134545.8388999999 5915013.4175);14745;
15702;15698;LINESTRING (134588.3821 5915028.6048, 134545.8388999999 5915013.4175);14746;
15307;15306;LINESTRING (134504.6947999997 5915051.9731, 134475.5093 5915049.2309);14781;
15703;15702;LINESTRING (134630.2167999996 5915041.821, 134588.3821 5915028.6048);14372;
15704;15703;LINESTRING (134622.9983999999 5915048.7162, 134630.2167999996 5915041.821);14373;
15300;15284;LINESTRING (134498.6354 5914974.102, 134513.7709999997 5914930.3523);14169;
15301;15300;LINESTRING (134469.4719000002 5914964.7294, 134498.6354 5914974.102);14172;
15304;15300;LINESTRING (134496.7335000001 5914996.1842, 134498.6354 5914974.102);14173;
15046;15938;LINESTRING (134742.3010999998 5914967.5015, 134742.9994999999 5914992.1401);18193;
15939;15938;LINESTRING (134813.2289000005 5915021.213, 134742.9994999999 5914992.1401);17564;
15394;15395;LINESTRING (134600.2852999996 5915175.8056, 134591.9130999995 5915175.8566);16490;
15928;15929;LINESTRING (134776.4863999998 5914925.1619, 134862.7052999996 5914921.0361);17027;
15655;15278;LINESTRING (134652.0396999996 5914900.1043, 134657.7999999998 5914931.7634);15590;
15701;15700;LINESTRING (134543.9576000003 5915048.2421, 134535.9019999998 5915049.0902, 134527.8087999998 5915049.1961, 134525.4610000001 5915048.2654, 134523.7132000001 5915046.5096);16795;
15305;15304;LINESTRING (134480.9752000002 5915010.6324, 134483.1202999996 5915005.5982, 134487.4055000003 5915001.823, 134496.7335000001 5914996.1842);16796;
15294;15292;LINESTRING (134673.0240000002 5915022.9766, 134683.8015999999 5914990.6195, 134684.8542999998 5914984.808, 134684.0576999998 5914980.8391);16797;
15296;15295;LINESTRING (134695.8921999997 5915044.7793, 134696.7966999998 5915039.2458, 134696.0854000002 5915034.4317, 134695.0389 5915032.1005, 134693.5355000002 5915030.2559);16798;
15294;15706;LINESTRING (134673.0240000002 5915022.9766, 134667.2487000003 5915034.1333, 134662.1128000002 5915038.9606, 134652.5508000003 5915043.4072);16799;
15706;15703;LINESTRING (134652.5508000003 5915043.4072, 134642.949 5915044.6573, 134630.2167999996 5915041.821);16800;
15306;15305;LINESTRING (134475.5093 5915049.2309, 134477.6579999998 5915044.5115, 134478.3550000004 5915041.9629, 134480.9752000002 5915010.6324);16767;
15393;15394;LINESTRING (134599.3295999998 5915109.3868, 134600.2852999996 5915175.8056);15634;
15398;15396;LINESTRING (134590.4249 5915081.2177, 134590.8564999998 5915118.2676);16491;
15058;15394;LINESTRING (134743.7707000002 5915172.8335, 134600.2852999996 5915175.8056);14619;
15675;15058;LINESTRING (134781.2088000001 5915172.4787, 134743.7707000002 5915172.8335);14620;
15048;15047;LINESTRING (134785.6687000003 5915063.3644, 134740.8956000004 5915065.2341);15167;
14465;15058;LINESTRING (134742.6928000003 5915129.5414, 134743.7707000002 5915172.8335);15168;
15047;14465;LINESTRING (134740.8956000004 5915065.2341, 134742.6928000003 5915129.5414);16446;
15043;15048;LINESTRING (134832.1782 5915062.7747, 134785.6687000003 5915063.3644);16487;
15938;15047;LINESTRING (134742.9994999999 5914992.1401, 134740.8956000004 5915065.2341);16488;
15945;15675;LINESTRING (134825.7273000004 5915171.4133, 134781.2088000001 5915172.4787);154961;
14464;15046;LINESTRING (134839.6251999997 5914963.8086, 134742.3010999998 5914967.5015);15165;
15057;15048;LINESTRING (134786.9836999997 5915116.5913, 134785.6687000003 5915063.3644);15169;
15056;15675;LINESTRING (134797.1239999998 5915139.8835, 134781.2088000001 5915172.4787);15170;
135132;135133;LINESTRING (134855.1950000003 5914948.1844, 134752.4463 5914960.168);147004;
135133;15046;LINESTRING (134752.4463 5914960.168, 134742.3010999998 5914967.5015);147005;
15396;15395;LINESTRING (134590.8564999998 5915118.2676, 134591.9130999995 5915175.8566);15636;
13891;13890;LINESTRING (134973.5992000001 5915181.6665, 134849.7576000001 5915184.4107);15040;
15651;13331;LINESTRING (134276.6560000004 5914716.0363, 134280.2385 5914827.6079);15504;
13332;15083;LINESTRING (134331.4367000004 5914709.2953, 134334.5208999999 5914826.0861);15505;
