self;other;geometry;edge;edge_correction
16407;16480;LINESTRING (130379.1514999997 5915219.0657, 130330.8735999996 5915212.6706);15233;
16406;16407;LINESTRING (130397.4238999998 5915221.1483, 130379.1514999997 5915219.0657);15234;
16479;16407;LINESTRING (130370.1310000001 5915294.4209, 130373.8669999996 5915263.5538, 130379.1514999997 5915219.0657);15235;
14078;16395;LINESTRING (130276.9342 5915259.2977, 130289.5086000003 5915158.0352);15246;
16390;16389;LINESTRING (130249.5570999999 5915102.2272, 130201.3980999999 5915097.1087);13458;
16391;16392;LINESTRING (130255.4318000004 5915054.8084, 130300.5820000004 5915060.1812);13460;
16508;16372;LINESTRING (130416.4494000003 5914984.2448, 130360.3712999998 5914977.6415);13466;
16189;16358;LINESTRING (130433.7337999996 5914822.8531, 130426.6922000004 5914869.1473);15423;
16413;16426;LINESTRING (130618.1235999996 5914952.5971, 130520.9051999999 5914941.26);14154;
16392;16393;LINESTRING (130300.5820000004 5915060.1812, 130295.3899999997 5915108.6174);14046;
16483;16484;LINESTRING (130239.9351000004 5915283.2082, 130273.5225 5915288.4473);14885;
16482;14077;LINESTRING (130320.8745999997 5915293.4609, 130324.9762000004 5915260.3206);14886;
16481;16482;LINESTRING (130347.7822000002 5915296.9821, 130320.8745999997 5915293.4609);14887;
16382;16491;LINESTRING (130089.7565000001 5915239.6492, 130102.4473999999 5915135.2329);14735;
16385;16388;LINESTRING (130188.3432999998 5915195.9119, 130194.2440999998 5915146.4526);14736;
16490;14080;LINESTRING (130178.7923999997 5915275.8168, 130182.4347999999 5915245.4362);14737;
16489;16490;LINESTRING (130174.4563999996 5915316.4267, 130178.7923999997 5915275.8168);14738;
16394;16393;LINESTRING (130315.4875999996 5915111.2014, 130295.3899999997 5915108.6174);14980;
14080;16385;LINESTRING (130182.4347999999 5915245.4362, 130188.3432999998 5915195.9119);14982;
16480;16396;LINESTRING (130330.8735999996 5915212.6706, 130336.9094000002 5915163.9028);14983;
16350;129827;LINESTRING (130139.6228999998 5914865.4852, 130130.5608999999 5914922.8069);141860;
14392;16355;LINESTRING (130145.7208000002 5914826.9134, 130184.7774 5914832.9516);14152;
129827;16378;LINESTRING (130130.5608999999 5914922.8069, 130121.5773999998 5914979.6315, 130119.9117999999 5914990.9459);14047;
16194;14392;LINESTRING (130156.0495999996 5914749.4793, 130145.7208000002 5914826.9134);15322;
14982;16380;LINESTRING (130103.0970000001 5914861.4402, 130095.2218000004 5914919.4019);15881;
129821;14391;LINESTRING (130119.6239 5914754.777, 130108.2692 5914821.8223);16931;
14391;14392;LINESTRING (130108.2692 5914821.8223, 130145.7208000002 5914826.9134);16932;
16378;16544;LINESTRING (130119.9117999999 5914990.9459, 130091.1640999997 5914987.085, 130082.9726 5914985.8396);17685;
14568;16293;LINESTRING (130081.2197000002 5915025.3789, 130076.6040000003 5915058.7866);14984;
16516;16521;LINESTRING (130023.0016999999 5914909.8549, 130013.7575000003 5914976.7876);14533;
13508;16545;LINESTRING (130068.8557000002 5915121.1255, 130066.6726000002 5915130.9614);14389;
16521;16520;LINESTRING (130013.7575000003 5914976.7876, 129976.5093999999 5914972.3589);14393;
16537;16541;LINESTRING (130015.0151000004 5915264.0064, 129941.0988999996 5915254.4996);14083;
13507;16535;LINESTRING (130009.4353 5915123.5196, 129994.7478 5915121.7481);16608;
16293;16543;LINESTRING (130076.6040000003 5915058.7866, 130074.3891000003 5915074.8184);18080;
16543;16297;LINESTRING (130074.3891000003 5915074.8184, 130071.9044000003 5915095.6119);18083;
16536;13507;LINESTRING (130029.7819999997 5915125.9737, 130009.4353 5915123.5196);16292;
13509;16545;LINESTRING (130077.7537000002 5915132.4496, 130072.5236 5915131.7472, 130066.6726000002 5915130.9614);16294;
16297;13508;LINESTRING (130071.9044000003 5915095.6119, 130068.8557000002 5915121.1255);16441;
16538;14315;LINESTRING (130052.8425000003 5915232.1833, 130062.8129000003 5915142.6284);16223;
16539;16536;LINESTRING (130016.9088000003 5915224.8083, 130029.7819999997 5915125.9737);16225;
14081;16382;LINESTRING (130085.4806000004 5915268.7279, 130089.7565000001 5915239.6492);16610;
14327;16538;LINESTRING (130047.8230999997 5915263.9092, 130052.8425000003 5915232.1833);16982;
14315;15678;LINESTRING (130062.8129000003 5915142.6284, 130058.7547000004 5915130.1677);16224;
13420;13421;LINESTRING (130004.5185000002 5915297.7046, 130043.6475 5915302.8284);17366;
13421;14327;LINESTRING (130043.6475 5915302.8284, 130047.8230999997 5915263.9092);17367;
13944;13945;LINESTRING (130070.3476999998 5915126.4049, 130088.6604000004 5914982.4846);15446;
13943;13944;LINESTRING (130049.6551999999 5915266.2193, 130070.3476999998 5915126.4049);15447;
13942;13943;LINESTRING (130039.1497 5915338.4382, 130049.6551999999 5915266.2193);15448;
13946;13947;LINESTRING (130112.7336999997 5914819.16, 130008.2692999998 5914803.8197);15014;
16523;16535;LINESTRING (130007.0354000004 5915027.4291, 129994.7478 5915121.7481);14696;
16522;16536;LINESTRING (130041.2764999997 5915032.9555, 130029.7819999997 5915125.9737);14697;
16544;16512;LINESTRING (130082.9726 5914985.8396, 130048.2423 5914980.964);14390;
16283;14564;LINESTRING (130038.0362999998 5914812.4949, 130001.5333000002 5914807.5595);141855;
16545;15678;LINESTRING (130066.6726000002 5915130.9614, 130058.7547000004 5915130.1677);14391;
16512;16521;LINESTRING (130048.2423 5914980.964, 130013.7575000003 5914976.7876);14392;
14522;14562;LINESTRING (130082.8620999996 5914746.5142, 130073.1653000005 5914812.2281, 130072.5060000001 5914816.6964);13701;
16511;16512;LINESTRING (130058.0333000002 5914913.482, 130048.2423 5914980.964);14532;
14563;16516;LINESTRING (130032.0076000001 5914852.4052, 130031.7653999999 5914853.9498, 130023.0016999999 5914909.8549);16646;
