,self,other,edge,edge_correction,geometry
1478,12978,13288,17946,,"LINESTRING (134932.7147000004 5914517.9824, 134900.7274000002 5914536.7161)"
1479,13288,12977,17947,,"LINESTRING (134900.7274000002 5914536.7161, 134879.7687999997 5914553.5981, 134872.1392999999 5914559.7436)"
1480,12977,15870,17948,,"LINESTRING (134872.1392999999 5914559.7436, 134861.9672999997 5914592.9655, 134851.2571999999 5914627.9448)"
1481,15926,13578,17025,,"LINESTRING (134719.0658999998 5914519.7377, 134708.1185999997 5914575.0221)"
1482,15925,13577,17026,,"LINESTRING (134765.4622999998 5914531.7249, 134750.2608000003 5914585.8923)"
1483,12976,12978,17740,,"LINESTRING (134914.5754000004 5914465.973, 134932.7147000004 5914517.9824)"
1484,12975,12976,17739,,"LINESTRING (134890.2614000002 5914464.011, 134914.5754000004 5914465.973)"
1485,13753,13317,15380,,"LINESTRING (134554.1629999997 5914490.0789, 134557.4534 5914483.4866)"
1486,15239,15241,16831,,"LINESTRING (134662.2079999996 5914646.7972, 134667.9254999999 5914677.3932)"
1487,15248,14106,17882,,"LINESTRING (134730.3140000002 5914609.0131, 134637.5361000001 5914594.3887)"
1490,13576,13577,17372,,"LINESTRING (134791.5845999997 5914602.2207, 134750.2608000003 5914585.8923)"
1491,15564,13572,16715,,"LINESTRING (134617.2973999996 5914411.0501, 134568.8969000001 5914497.4372, 134561.8963000001 5914509.932)"
1492,13573,13753,17370,,"LINESTRING (134630.3520999998 5914528.1286, 134568.8969000001 5914497.4372, 134554.1629999997 5914490.0789)"
1493,13572,15171,17808,,"LINESTRING (134561.8963000001 5914509.932, 134486.7248 5914511.756)"
1494,15920,15922,17023,,"LINESTRING (134715.5575999999 5914434.0493, 134694.568 5914476.1227)"
1495,142284,15924,18547,,"LINESTRING (134802.3635 5914574.2759, 134818.9685000004 5914516.2991)"
1496,15922,15927,18548,,"LINESTRING (134694.568 5914476.1227, 134666.4276999999 5914536.8443)"
1497,15927,13579,18549,,"LINESTRING (134666.4276999999 5914536.8443, 134663.5073999995 5914566.976)"
1498,15924,15923,18550,,"LINESTRING (134818.9685000004 5914516.2991, 134751.6297000004 5914486.424)"
1499,15923,15922,18551,,"LINESTRING (134751.6297000004 5914486.424, 134694.568 5914476.1227)"
1500,13574,14230,17807,,"LINESTRING (134552.6026999997 5914566.14, 134541.1486 5914556.7633)"
1501,132050,14230,137357,,"LINESTRING (134653.6933000004 5914195.577, 134656.5367000001 5914313.5339, 134541.1486 5914556.7633)"
1502,13577,13578,17803,,"LINESTRING (134750.2608000003 5914585.8923, 134708.1185999997 5914575.0221)"
1503,13578,13579,17804,,"LINESTRING (134708.1185999997 5914575.0221, 134663.5073999995 5914566.976)"
1504,13579,13575,17805,,"LINESTRING (134663.5073999995 5914566.976, 134617.1120999996 5914565.2182)"
1505,13575,13574,17806,,"LINESTRING (134617.1120999996 5914565.2182, 134552.6026999997 5914566.14)"
1506,15724,15465,14498,,"LINESTRING (130332.4086999996 5914175.0503, 130310.2927999999 5914307.8494)"
1507,141214,13662,153809,,"LINESTRING (130237.9261999996 5914368.9644, 130187.3108000001 5914356.4146)"
1508,15731,15464,13461,,"LINESTRING (130405.1391000003 5914247.974, 130396.2144999998 5914323.7001)"
1509,15466,15465,14092,,"LINESTRING (130260.4603000004 5914299.2925, 130310.2927999999 5914307.8494)"
1510,15465,15464,14093,,"LINESTRING (130310.2927999999 5914307.8494, 130396.2144999998 5914323.7001)"
1511,15464,15463,14094,,"LINESTRING (130396.2144999998 5914323.7001, 130498.9557999996 5914341.4706)"
1512,13662,13660,15976,,"LINESTRING (130187.3108000001 5914356.4146, 130193.4722999996 5914291.1603)"
1513,13658,13659,15980,,"LINESTRING (130067.6809999999 5914235.4558, 130059.5237999996 5914322.3583)"
1514,13659,13673,16377,,"LINESTRING (130059.5237999996 5914322.3583, 130055.2178999996 5914368.22)"
1515,13661,13662,15975,,"LINESTRING (130134.9012000002 5914351.5124, 130187.3108000001 5914356.4146)"
1516,14099,13673,15563,,"LINESTRING (130106.6814999999 5914373.0174, 130055.2178999996 5914368.22)"
1517,13672,13659,16378,,"LINESTRING (130113.9926000005 5914327.4349, 130059.5237999996 5914322.3583)"
1518,13670,13671,16379,,"LINESTRING (130163.0001999997 5914309.8808, 130116.0541000003 5914305.5013)"
1519,13671,13672,16380,,"LINESTRING (130116.0541000003 5914305.5013, 130113.9926000005 5914327.4349)"
1520,15471,15470,14762,,"LINESTRING (130392.2567999996 5914352.5676, 130491.1913000001 5914377.1058)"
1521,1001398,1001542,161609,,"LINESTRING (129955.1341000004 5914423.7923, 129951.8465 5914423.5642)"
1522,133965,1001544,15463,Terminal,"LINESTRING (129945.8777000001 5914423.0886, 129720.8905999996 5914393.4261, 129696.0568000004 5914394.0526, 129686.0036000004 5914392.588, 129678.6761999996 5914392.3678, 129668.2132999999 5914391.2186, 129658.4868999999 5914390.3222, 129648.2026000004 5914389.9225, 129644.7319999998 5914389.891, 129638.4872000003 5914389.8986, 129630.4227 5914390.5382, 129621.7516999999 5914390.9508, 129611.7154999999 5914390.7223, 129603.9309999999 5914390.4363, 129597.9626000002 5914390.0608, 129590.0637999997 5914389.6151, 129579.8876 5914388.9897, 129572.3910999997 5914388.5115, 129564.2767000003 5914387.9561, 129555.9243000001 5914387.1097, 129548.4378000004 5914386.632, 129542.9883000003 5914386.3336, 129525.2529999996 5914383.2226, 129522.2918999996 5914383.0931, 129517.9247000003 5914382.3408, 129514.9353 5914381.9395, 129512.2620000001 5914381.6421, 129504.2136000004 5914379.8067, 129429.8343000002 5914370.1159, 129393.3166775114 5914364.703518604)"
1523,1001542,133965,18304,,"LINESTRING (129951.8465 5914423.5642, 129945.8777000001 5914423.0886)"
1524,13751,15099,17331,,"LINESTRING (134500.4206999997 5914663.5146, 134481.7882000003 5914653.4209)"
1525,13333,13334,16993,,"LINESTRING (134330.6041000001 5914603.0696, 134328.5292999996 5914600.2453)"
1526,15113,13740,15777,,"LINESTRING (134377.4863999998 5914570.1442, 134477.7107999995 5914568.05)"
1527,13752,13751,17138,,"LINESTRING (134508.2337999996 5914645.4277, 134500.4206999997 5914663.5146)"
1528,14230,14229,16717,,"LINESTRING (134541.1486 5914556.7633, 134521.4526000004 5914555.1792)"
1529,14229,14333,16718,,"LINESTRING (134521.4526000004 5914555.1792, 134512.9461000003 5914576.9304)"
1530,14333,14332,17731,,"LINESTRING (134512.9461000003 5914576.9304, 134500.5541000003 5914614.2455)"
1531,14332,15099,17732,,"LINESTRING (134500.5541000003 5914614.2455, 134481.7882000003 5914653.4209)"
1532,13740,15099,15397,,"LINESTRING (134477.7107999995 5914568.05, 134481.7882000003 5914653.4209)"
1533,15172,13740,15398,,"LINESTRING (134476.2947000004 5914512.1777, 134477.7107999995 5914568.05)"
1535,13334,15105,16992,,"LINESTRING (134328.5292999996 5914600.2453, 134328.2357999999 5914589.2349)"
1537,15108,15109,15507,,"LINESTRING (134218.2671999997 5914591.3388, 134181.8404999999 5914592.2162)"
1538,15107,15108,15508,,"LINESTRING (134273.8846000005 5914590.4279, 134218.2671999997 5914591.3388)"
1539,15105,15107,15509,,"LINESTRING (134328.2357999999 5914589.2349, 134273.8846000005 5914590.4279)"
1540,15161,15160,14889,,"LINESTRING (134319.5678000003 5914393.9789, 134373.5779999997 5914391.8697)"
1541,15168,15162,14890,,"LINESTRING (134293.9358999999 5914516.1479, 134291.9696000004 5914395.07)"
1542,15162,15147,14634,,"LINESTRING (134291.9696000004 5914395.07, 134287.5026000002 5914283.2443)"
1544,15106,13338,14892,,"LINESTRING (134322.8973000003 5914554.1439, 134322.1937999995 5914474.0394)"
1545,13338,15161,16532,,"LINESTRING (134322.1937999995 5914474.0394, 134319.5678000003 5914393.9789)"
1548,15164,15165,15776,,"LINESTRING (134522.7768000001 5914426.1389, 134522.2034999998 5914395.7271)"
1550,14616,14335,17733,,"LINESTRING (134239.4808999998 5914517.7561, 134236.7614000002 5914398.7199)"
1551,14335,14334,17734,,"LINESTRING (134236.7614000002 5914398.7199, 134234.8553999998 5914283.977)"
1552,12974,12975,17738,,"LINESTRING (134874.7973999996 5914458.1476, 134890.2614000002 5914464.011)"
1553,15159,14050,17881,,"LINESTRING (134428.7878 5914397.9867, 134428.8421 5914344.6896)"
1554,15170,15159,15780,,"LINESTRING (134431.2366000004 5914508.5348, 134428.7878 5914397.9867)"
1555,13741,15157,15781,,"LINESTRING (134593.5393000003 5914411.1879, 134591.6683 5914324.6019)"
1556,15166,15159,16021,,"LINESTRING (134483.9458999997 5914396.8112, 134483.2471000003 5914396.8261, 134428.7878 5914397.9867)"
1557,15165,15166,16022,,"LINESTRING (134522.2034999998 5914395.7271, 134483.9458999997 5914396.8112)"
1558,15160,15159,16941,,"LINESTRING (134373.5779999997 5914391.8697, 134415.7175000003 5914390.8235, 134421.3570999997 5914391.0999, 134428.7878 5914397.9867)"
1560,15921,15920,17024,,"LINESTRING (134741.8537999997 5914447.3462, 134715.5575999999 5914434.0493)"
1561,15563,15564,15803,,"LINESTRING (134667.9945999999 5914436.7088, 134617.2973999996 5914411.0501)"
1562,15562,15563,15802,,"LINESTRING (134689.409 5914393.3276, 134667.9945999999 5914436.7088)"
1564,15171,15172,15399,,"LINESTRING (134486.7248 5914511.756, 134476.2947000004 5914512.1777)"
1565,122696,12980,18394,,"LINESTRING (135000.1237000003 5914361.1744, 134976.5334999999 5914433.7947)"
1566,14339,15171,15948,,"LINESTRING (134467.5060999999 5914150.7695, 134468.8826000001 5914190.5938, 134479.4634999996 5914213.0227, 134479.5060999999 5914214.5681, 134480.1052000001 5914236.2848, 134480.5506999996 5914252.4346, 134482.5094999997 5914327.0419, 134482.6831999999 5914333.3098, 134483.1371999998 5914393.1925, 134483.2471000003 5914396.8261, 134486.7248 5914511.756)"
1567,15669,15172,14989,,"LINESTRING (134463.3136999998 5914512.716, 134476.2947000004 5914512.1777)"
1568,15169,15669,15778,,"LINESTRING (134376.7174000004 5914515.034, 134463.3136999998 5914512.716)"
1571,15116,146790,17820,,"LINESTRING (134074.2324000001 5914573.3576, 134072.3022999996 5914484.6991)"
1572,14611,14610,16132,,"LINESTRING (133511.1911000004 5914493.3623, 133557.7191000003 5914563.073)"
1573,146791,146789,159776,,"LINESTRING (134009.7319999998 5914543.814, 134060.9866000004 5914495.0124)"
1574,15109,15110,15506,,"LINESTRING (134181.8404999999 5914592.2162, 134126.5913000004 5914593.487)"
1575,15112,15111,15514,,"LINESTRING (134184.2885999996 5914571.3045, 134124.4138000002 5914571.2832)"
1576,15110,15111,16496,,"LINESTRING (134126.5913000004 5914593.487, 134124.4138000002 5914571.2832)"
1577,15111,13743,17816,,"LINESTRING (134124.4138000002 5914571.2832, 134121.3649000004 5914462.1844)"
1578,143482,15110,156509,,"LINESTRING (134126.2741 5914612.2568, 134126.5913000004 5914593.487)"
1579,15268,15267,14895,,"LINESTRING (133169.3180999998 5914446.0096, 133172.1689999998 5914481.5426)"
1580,15259,15263,14559,,"LINESTRING (133304.1995000001 5914480.3676, 133239.6991999997 5914483.5787)"
1581,15260,15268,14896,,"LINESTRING (133237.1573999999 5914442.6956, 133169.3180999998 5914446.0096)"
1582,15266,15267,14897,,"LINESTRING (133197.8639000002 5914480.8836, 133172.1689999998 5914481.5426)"
1583,15265,15266,14898,,"LINESTRING (133199.1937999995 5914506.3756, 133197.8639000002 5914480.8836)"
1584,15258,15260,14374,,"LINESTRING (133301.2494999999 5914438.6414, 133237.1573999999 5914442.6956)"
1585,15263,15260,14376,,"LINESTRING (133239.6991999997 5914483.5787, 133237.1573999999 5914442.6956)"
1586,15256,15259,14377,,"LINESTRING (133357.9578999998 5914477.8023, 133304.1995000001 5914480.3676)"
1587,15257,15258,14378,,"LINESTRING (133362.5866 5914435.6497, 133301.2494999999 5914438.6414)"
1588,15264,15257,14379,,"LINESTRING (133365.5115 5914471.1365, 133362.5866 5914435.6497)"
1589,15269,15268,16498,,"LINESTRING (133172.8501000004 5914405.2622, 133168.7735000001 5914424.0942, 133169.3180999998 5914446.0096)"
1590,15267,133928,18026,,"LINESTRING (133172.1689999998 5914481.5426, 133180.7973999996 5914511.5721)"
1591,133928,14341,145922,,"LINESTRING (133180.7973999996 5914511.5721, 133192.1494000005 5914551.0803)"
1598,15475,15466,14499,,"LINESTRING (130278.3937999997 5914168.9829, 130260.4603000004 5914299.2925)"
1599,15725,15731,14501,,"LINESTRING (130411.8108000001 5914187.8719, 130405.1391000003 5914247.974)"
1600,14962,15726,14582,,"LINESTRING (130536.6955000004 5914153.3789, 130528.2608000003 5914206.2917)"
1601,15167,15163,14888,,"LINESTRING (134183.7844000002 5914519.3325, 134180.7731999997 5914402.3513)"
1602,14336,14337,18020,,"LINESTRING (133992.5999999996 5914519.4521, 133990.8757999996 5914455.8189)"
1603,16274,15120,18181,,"LINESTRING (133948.5732000005 5914525.8082, 133899.9659000002 5914446.8281)"
1604,146789,146790,159777,,"LINESTRING (134060.9866000004 5914495.0124, 134072.3022999996 5914484.6991)"
1605,13321,13742,17821,,"LINESTRING (134071.7746000001 5914460.4599, 134069.0987 5914355.5574)"
1606,146790,13321,159775,,"LINESTRING (134072.3022999996 5914484.6991, 134071.7746000001 5914460.4599)"
1607,14337,15126,18021,,"LINESTRING (133990.8757999996 5914455.8189, 134011.6139000002 5914423.8894)"
1608,13655,13656,15977,,"LINESTRING (130168.0480000004 5914266.9386, 130120.0961999996 5914262.4666)"
1609,13656,13657,15978,,"LINESTRING (130120.0961999996 5914262.4666, 130122.1551999999 5914240.5335)"
1610,13657,13658,15979,,"LINESTRING (130122.1551999999 5914240.5335, 130067.6809999999 5914235.4558)"
1611,13660,13828,17101,,"LINESTRING (130193.4722999996 5914291.1603, 130199.6371999998 5914225.6344)"
1612,13654,13658,17102,,"LINESTRING (130071.9836999997 5914189.5947, 130067.6809999999 5914235.4558)"
1613,13828,13831,17105,,"LINESTRING (130199.6371999998 5914225.6344, 130204.1305 5914177.7809)"
1614,13829,13828,17104,,"LINESTRING (130147.1942999996 5914220.7432, 130199.6371999998 5914225.6344)"
1615,14969,14970,13624,,"LINESTRING (130422.7681 5914085.3731, 130419.6030999999 5914112.7282)"
1616,14972,15723,13625,,"LINESTRING (130331.8382000001 5914120.526, 130323.9424000001 5914173.5996)"
1618,14973,15725,13968,,"LINESTRING (130417.8461999996 5914133.2431, 130411.8108000001 5914187.8719)"
1619,14963,14973,13969,,"LINESTRING (130530.9019999998 5914149.8495, 130417.8461999996 5914133.2431)"
1620,14971,14970,13966,,"LINESTRING (130359.5083999997 5914104.4947, 130419.6030999999 5914112.7282)"
1621,14970,14973,13967,,"LINESTRING (130419.6030999999 5914112.7282, 130417.8461999996 5914133.2431)"
1622,15732,15724,17652,,"LINESTRING (130391.4060000004 5914182.8228, 130332.4086999996 5914175.0503)"
1623,15723,15475,16925,,"LINESTRING (130323.9424000001 5914173.5996, 130278.3937999997 5914168.9829)"
1624,13824,13825,16805,,"LINESTRING (130287.8328 5914108.4311, 130296.4649999999 5914040.0705)"
1625,13651,13654,16806,,"LINESTRING (130076.4722999996 5914141.7395, 130071.9836999997 5914189.5947)"
1626,13650,13651,15957,,"LINESTRING (130080.9590999996 5914093.8841, 130076.4722999996 5914141.7395)"
1627,13652,13651,15956,,"LINESTRING (130127.9469999997 5914146.5395, 130076.4722999996 5914141.7395)"
1628,13831,13832,17107,,"LINESTRING (130204.1305 5914177.7809, 130208.6173 5914129.9277)"
1629,13832,13835,17109,,"LINESTRING (130208.6173 5914129.9277, 130213.0979000004 5914082.0737)"
1630,13653,13654,17103,,"LINESTRING (130123.4603000004 5914194.3938, 130071.9836999997 5914189.5947)"
1631,13830,13831,17106,,"LINESTRING (130151.6835000003 5914172.8895, 130204.1305 5914177.7809)"
1632,13833,13832,17108,,"LINESTRING (130156.1686000004 5914125.0354, 130208.6173 5914129.9277)"
1633,15271,15270,14318,,"LINESTRING (133274.3293000003 5914361.4816, 133183.7505000001 5914366.2472)"
1634,15262,15269,14319,,"LINESTRING (133241.5926999999 5914402.5037, 133172.8501000004 5914405.2622)"
1636,15272,15273,14321,,"LINESTRING (133289.5724999998 5914360.4062, 133276.0817999998 5914339.3931)"
1637,15273,15274,14322,,"LINESTRING (133276.0817999998 5914339.3931, 133195.7821000004 5914319.0406)"
1638,15275,15274,14323,,"LINESTRING (133204.1081999997 5914290.2599, 133195.7821000004 5914319.0406)"
1639,15274,15270,14324,,"LINESTRING (133195.7821000004 5914319.0406, 133183.7505000001 5914366.2472)"
1640,15270,15269,14325,,"LINESTRING (133183.7505000001 5914366.2472, 133172.8501000004 5914405.2622)"
1641,15261,15262,14375,,"LINESTRING (133312.9134999998 5914397.4829, 133241.5926999999 5914402.5037)"
1642,13742,15128,17822,,"LINESTRING (134069.0987 5914355.5574, 134068.7231000001 5914331.3288)"
1643,15125,13742,18022,,"LINESTRING (133984.2938000001 5914397.8176, 134069.0987 5914355.5574)"
1644,15148,16558,17867,,"LINESTRING (134428.9068 5914281.2065, 134417.3693000004 5914264.049)"
1645,15124,15128,15513,,"LINESTRING (133997.0253999997 5914332.6876, 134068.7231000001 5914331.3288)"
1646,14765,14777,14248,,"LINESTRING (134444.2067999998 5913681.8381, 134417.4914999995 5913655.2357)"
1648,13324,15127,14894,,"LINESTRING (134179.4530999996 5914331.0583, 134178.0822000001 5914286.048)"
1649,15567,15578,15077,,"LINESTRING (134471.8547 5913746.111, 134473.8969000001 5913711.4027)"
1650,15578,14765,15078,,"LINESTRING (134473.8969000001 5913711.4027, 134444.2067999998 5913681.8381)"
1651,14498,13497,15085,,"LINESTRING (134406.7290000003 5913924.1098, 134404.5197000001 5913929.9407, 134405.3354000002 5913934.3657, 134406.5266000004 5913944.4942)"
1652,14794,14498,15086,,"LINESTRING (134422.8509 5913922.822, 134417.6043999996 5913919.6741, 134411.5504999999 5913920.0788, 134406.7290000003 5913924.1098)"
1653,14050,15158,16661,,"LINESTRING (134428.8421 5914344.6896, 134428.8587999996 5914328.3097)"
1654,14049,14050,16662,,"LINESTRING (134361.8109999998 5914345.6472, 134428.8421 5914344.6896)"
1655,14470,15559,16557,,"LINESTRING (134454.6304000001 5914237.2505, 134480.1052000001 5914236.2848, 134483.4012000002 5914236.1599)"
1656,15130,15128,17318,,"LINESTRING (134066.5767999999 5914247.2472, 134068.7231000001 5914331.3288)"
1657,15120,134700,18023,,"LINESTRING (133899.9659000002 5914446.8281, 133957.3518000003 5914415.7035)"
1658,15579,15578,18095,,"LINESTRING (134488.9018999999 5913667.9203, 134473.8969000001 5913711.4027)"
1659,15558,13748,18101,,"LINESTRING (134404.5417999998 5914044.281, 134389.5143999998 5914032.4963)"
1660,14650,14654,18243,,"LINESTRING (134505.1242000004 5914118.4997, 134534.1974999998 5914128.7398)"
1661,15566,13320,18371,,"LINESTRING (134538.8338000001 5914325.8102, 134483.0751 5914327.0266)"
1662,13319,15559,18374,,"LINESTRING (134537.4649999999 5914235.1536, 134530.9775999999 5914235.2744, 134483.4012000002 5914236.1599)"
1663,15559,15149,18375,,"LINESTRING (134483.4012000002 5914236.1599, 134482.8699000003 5914214.5751)"
1665,13320,13318,18377,,"LINESTRING (134483.0751 5914327.0266, 134482.5094999997 5914327.0419, 134436.0317000002 5914328.3051)"
1666,15966,13745,17550,,"LINESTRING (134155.9490999999 5913962.9318, 134189.8623000002 5914004.0624)"
1667,15965,15966,17551,,"LINESTRING (134172.0637999997 5913905.0514, 134155.9490999999 5913962.9318)"
1668,15968,13748,17552,,"LINESTRING (134313.8328 5913942.382, 134389.5143999998 5914032.4963)"
1669,15967,15968,17553,,"LINESTRING (134281.9415999996 5913876.63, 134313.8328 5913942.382)"
1670,15969,15558,17554,,"LINESTRING (134446.3022999996 5914085.0823, 134404.5417999998 5914044.281)"
1672,13318,15158,16117,,"LINESTRING (134436.0317000002 5914328.3051, 134428.8587999996 5914328.3097)"
1673,15560,13838,16120,,"LINESTRING (134530.8399 5914164.7719, 134474.2004000004 5914144.7869)"
1674,13491,13839,16121,,"LINESTRING (134623.0257000001 5914188.9825, 134531.6489000004 5914156.8845, 134490.3918000003 5914142.392)"
1675,13744,13745,16304,,"LINESTRING (134222.5551000005 5914048.0265, 134189.8623000002 5914004.0624)"
1676,13749,13744,16305,,"LINESTRING (134391.6670000004 5914107.3914, 134290.7406000001 5914072.2342, 134222.5551000005 5914048.0265)"
1677,13748,15557,16306,,"LINESTRING (134389.5143999998 5914032.4963, 134390.5913000004 5914067.2254)"
1678,14497,13749,16307,,"LINESTRING (134440.1723999996 5914124.775, 134437.9463999998 5914123.9772, 134401.1485000001 5914110.7894, 134391.6670000004 5914107.3914)"
1679,15143,13750,16308,,"LINESTRING (134401.0055 5914189.7441, 134399.4791000001 5914118.4219, 134399.3131999997 5914110.6707)"
1680,1001703,15676,15954,,"LINESTRING (134434.1755999997 5914112.926, 134437.9463999998 5914123.9772, 134441.0564999999 5914133.0923, 134444.2018999998 5914142.3106)"
1681,15676,14339,15955,,"LINESTRING (134444.2018999998 5914142.3106, 134467.5060999999 5914150.7695)"
1682,13499,13498,16187,,"LINESTRING (134516.1162999999 5913966.035, 134489.5256000003 5913958.4337)"
1683,15126,15125,15342,,"LINESTRING (134011.6139000002 5914423.8894, 133984.2938000001 5914397.8176)"
1684,15121,15122,15344,,"LINESTRING (133878.2221999997 5914335.4536, 133941.6874000002 5914292.6293)"
1685,15122,15123,15345,,"LINESTRING (133941.6874000002 5914292.6293, 133961.4797999999 5914317.678)"
1686,15119,15120,15346,,"LINESTRING (133852.4441 5914399.3652, 133899.9659000002 5914446.8281)"
1687,15117,15118,15347,,"LINESTRING (133670.8469000002 5914368.4526, 133708.9521000003 5914405.7306)"
1688,15133,15138,15355,,"LINESTRING (134173.9209000003 5914158.0536, 134238.8956000004 5914108.3087)"
1689,15141,13838,16146,,"LINESTRING (134283.9249999998 5914077.6492, 134399.4791000001 5914118.4219, 134441.0564999999 5914133.0923, 134474.2004000004 5914144.7869)"
1690,13747,13748,16148,,"LINESTRING (134327.6262999997 5914033.5768, 134389.5143999998 5914032.4963)"
1691,15138,15141,15650,,"LINESTRING (134238.8956000004 5914108.3087, 134283.9249999998 5914077.6492)"
1692,15146,15142,15651,,"LINESTRING (134362.1900000004 5914281.8539, 134360.3032 5914190.5753)"
1693,14651,14655,16528,,"LINESTRING (134482.8535000002 5914126.8631, 134511.6968999999 5914136.852, 134533.1517000003 5914142.2335)"
1694,14779,14781,17295,,"LINESTRING (134473.3558999998 5913844.0652, 134445.4458999997 5913860.0234)"
1695,14781,14780,17299,,"LINESTRING (134445.4458999997 5913860.0234, 134417.2006000001 5913874.6662)"
1696,14783,14779,17300,,"LINESTRING (134489.3603999997 5913834.9143, 134473.3558999998 5913844.0652)"
1697,13743,13322,17817,,"LINESTRING (134121.3649000004 5914462.1844, 134118.4193000002 5914336.8821)"
1698,13322,15129,17818,,"LINESTRING (134118.4193000002 5914336.8821, 134118.3848000001 5914330.9709)"
1700,15118,15119,16936,,"LINESTRING (133708.9521000003 5914405.7306, 133817.4764999999 5914403.7251, 133838.6106000002 5914403.0442, 133845.233 5914401.9902, 133852.4441 5914399.3652)"
1701,13498,14794,16024,,"LINESTRING (134489.5256000003 5913958.4337, 134451.6232000003 5913938.6992, 134422.8509 5913922.822)"
1702,14334,13323,17081,,"LINESTRING (134234.8553999998 5914283.977, 134184.5861999998 5914285.8108)"
1703,15163,13324,17865,,"LINESTRING (134180.7731999997 5914402.3513, 134179.4530999996 5914331.0583)"
1704,13323,15127,17866,,"LINESTRING (134184.5861999998 5914285.8108, 134178.0822000001 5914286.048)"
1705,13839,14497,16027,,"LINESTRING (134490.3918000003 5914142.392, 134440.1723999996 5914124.775)"
1706,15132,15133,16435,,"LINESTRING (134174.9337999998 5914201.2152, 134173.9209000003 5914158.0536)"
1707,15127,15132,16436,,"LINESTRING (134178.0822000001 5914286.048, 134174.9337999998 5914201.2152)"
1708,15129,13324,16437,,"LINESTRING (134118.3848000001 5914330.9709, 134179.4530999996 5914331.0583)"
1709,15128,15129,16438,,"LINESTRING (134068.7231000001 5914331.3288, 134118.3848000001 5914330.9709)"
1711,15147,14334,15801,,"LINESTRING (134287.5026000002 5914283.2443, 134234.8553999998 5914283.977)"
1712,15556,13747,15807,,"LINESTRING (134327.4031999996 5914018.5522, 134327.6262999997 5914033.5768)"
1713,15123,15124,16937,,"LINESTRING (133961.4797999999 5914317.678, 133969.9484999999 5914326.1363, 133978.7955 5914330.6916, 133997.0253999997 5914332.6876)"
1714,16558,15145,16018,,"LINESTRING (134417.3693000004 5914264.049, 134415.7341 5914214.4353)"
1715,15149,15145,16019,,"LINESTRING (134482.8699000003 5914214.5751, 134479.5060999999 5914214.5681, 134415.7341 5914214.4353)"
1716,15158,15148,16020,,"LINESTRING (134428.8587999996 5914328.3097, 134428.9068 5914281.2065)"
1717,15135,15134,16434,,"LINESTRING (134241.2746000001 5914200.1742, 134240.2104000002 5914164.7304)"
1718,15142,15140,16938,,"LINESTRING (134360.3032 5914190.5753, 134302.4574999996 5914192.1475)"
1720,15145,15144,16940,,"LINESTRING (134415.7341 5914214.4353, 134415.0369999995 5914189.4575)"
1721,14755,14763,16505,,"LINESTRING (134425.8108000001 5913545.1624, 134416.4572000001 5913603.4797)"
1722,14763,14764,16506,,"LINESTRING (134416.4572000001 5913603.4797, 134430.9484000001 5913643.0218)"
1723,14764,14777,16507,,"LINESTRING (134430.9484000001 5913643.0218, 134417.4914999995 5913655.2357)"
1724,13495,13494,16671,,"LINESTRING (134468.1323999995 5914018.5899, 134486.8905999996 5914041.0374)"
1725,13497,13495,16189,,"LINESTRING (134406.5266000004 5913944.4942, 134468.1323999995 5914018.5899)"
1726,13494,13496,16172,,"LINESTRING (134486.8905999996 5914041.0374, 134510.8377999999 5914068.2628, 134519.7008999996 5914076.0028, 134529.6745999996 5914082.0279)"
1727,14768,14769,17291,,"LINESTRING (134357.1546999998 5913651.9397, 134390.5488 5913684.2262)"
1728,14767,14768,17292,,"LINESTRING (134354.9638 5913622.1352, 134357.1546999998 5913651.9397)"
1729,14766,14767,17293,,"LINESTRING (134373.6788999997 5913609.0894, 134354.9638 5913622.1352)"
1730,14777,14766,17294,,"LINESTRING (134417.4914999995 5913655.2357, 134373.6788999997 5913609.0894)"
1731,14784,13497,17296,,"LINESTRING (134380.1057000002 5913908.5143, 134406.5266000004 5913944.4942)"
1732,14782,14784,17297,,"LINESTRING (134389.7895 5913889.4302, 134380.1057000002 5913908.5143)"
1733,14780,14782,17298,,"LINESTRING (134417.2006000001 5913874.6662, 134389.7895 5913889.4302)"
1734,14772,14773,16728,,"LINESTRING (134399.216 5913747.0384, 134396.8066999996 5913772.5618)"
1735,14771,14772,16729,,"LINESTRING (134391.4401000002 5913728.2289, 134399.216 5913747.0384)"
1736,14770,14771,16730,,"LINESTRING (134387.0232999995 5913707.968, 134391.4401000002 5913728.2289)"
1737,14769,14770,16731,,"LINESTRING (134390.5488 5913684.2262, 134387.0232999995 5913707.968)"
1738,14774,14775,16726,,"LINESTRING (134387.8982999995 5913788.6514, 134384.1200000001 5913808.3466)"
1739,14773,14774,16727,,"LINESTRING (134396.8066999996 5913772.5618, 134387.8982999995 5913788.6514)"
1740,14778,14780,16723,,"LINESTRING (134379.9236000003 5913857.7337, 134417.2006000001 5913874.6662)"
1741,14776,14778,16724,,"LINESTRING (134388.3344000001 5913827.82, 134379.9236000003 5913857.7337)"
1742,14775,14776,16725,,"LINESTRING (134384.1200000001 5913808.3466, 134388.3344000001 5913827.82)"
1744,134701,134700,146685,,"LINESTRING (133929.3123000003 5914387.2672, 133957.3518000003 5914415.7035)"
1745,134697,134698,146686,,"LINESTRING (133889.3258999996 5914420.319, 133900.4506999999 5914412.7023)"
